,Act.ele,Elevation,pre.AI,bio12,bio1,Aridity.index,GTmin,pre.bio12,pre.bio1,pre.GT
HDX141,5191,5200,0.012440213,482.2928911,-1.900812248,0.091365332,0.336339286,514.4074575,-2.019212262,0.30317481
HDX142,5178,5200,0.034874643,482.2928911,-1.900812248,0.091365332,0.336339286,513.0763576,-1.882617285,0.415299308
HDX143,5192,5200,0.01070441,482.2928911,-1.900812248,0.091365332,0.336339286,514.5080935,-2.029792935,0.294486134
HDX144,5192,5200,0.01070441,482.2928911,-1.900812248,0.091365332,0.336339286,514.5080935,-2.029792935,0.294486134
HDX145,5192,5200,0.01070441,482.2928911,-1.900812248,0.091365332,0.336339286,514.5080935,-2.029792935,0.294486134
HDX146,5194,5200,0.007228488,482.2928911,-1.900812248,0.091365332,0.336339286,514.7086128,-2.050985726,0.277081477
DH01,4409,4400,0.92912213,366.9859954,3.369355651,0.929135914,4.662769123,358.8969994,3.04605369,4.311110507
DH02,4408,4400,0.929730783,366.9859954,3.369355651,0.929135914,4.662769123,358.5999104,3.048427661,4.312672306
DH03,4407,4400,0.930337996,366.9859954,3.369355651,0.929135914,4.662769123,358.3025706,3.05079115,4.314225004
DH04,4406,4400,0.93094377,366.9859954,3.369355651,0.929135914,4.662769123,358.0049799,3.053144159,4.315768599
DH05,4407,4400,0.930337996,366.9859954,3.369355651,0.929135914,4.662769123,358.3025706,3.05079115,4.314225004
DH06,4408,4400,0.929730783,366.9859954,3.369355651,0.929135914,4.662769123,358.5999104,3.048427661,4.312672306
DH07,4407,4400,0.930337996,366.9859954,3.369355651,0.929135914,4.662769123,358.3025706,3.05079115,4.314225004
DH08,4407,4400,0.930337996,366.9859954,3.369355651,0.929135914,4.662769123,358.3025706,3.05079115,4.314225004
DH09,4403,4400,0.932752455,366.9859954,3.369355651,0.929135914,4.662769123,357.1107023,3.060140298,4.320344773
DH10,4398,4400,0.935738138,366.9859954,3.369355651,0.929135914,4.662769123,355.6152216,3.071590907,4.32778969
DH11,4383,4400,0.94447926,366.9859954,3.369355651,0.929135914,4.662769123,351.0911451,3.104370571,4.348759138
