Elevation,pre.AI,gp,value,variable
5200,0.012,B,0.332761993,Total.coh
5200,0.012,B,0.337914186,Total.coh
5200,0.012,B,0.336251255,Total.coh
5200,0.012,B,0.326998958,Total.coh
4400,0.936,A,0.324814315,Total.coh
4400,0.936,A,0.326954507,Total.coh
4400,0.936,A,0.325140755,Total.coh
4400,0.936,A,0.325453246,Total.coh
4400,0.936,A,0.319355764,Total.coh
4400,0.936,A,0.298854934,Total.coh
4400,0.936,A,0.33101749,Total.coh
4400,0.936,A,0.331706201,Total.coh
4400,0.936,A,0.336861433,Total.coh
4400,0.936,A,0.317557298,Total.coh
4400,0.936,A,0.342078581,Total.coh
4400,0.936,A,0.322353787,Total.coh
4400,0.936,A,0.342760327,Total.coh
4400,0.936,A,0.338437071,Total.coh
4500,0.865,A,0.315513852,Total.coh
4500,0.865,A,0.308819255,Total.coh
4500,0.865,A,0.318362378,Total.coh
4500,0.865,A,0.323002959,Total.coh
4500,0.865,A,0.322975945,Total.coh
4500,0.865,A,0.318777692,Total.coh
4500,0.865,A,0.330063057,Total.coh
4500,0.865,A,0.330422656,Total.coh
4500,0.865,A,0.329578292,Total.coh
4500,0.865,A,0.331471053,Total.coh
4500,0.865,A,0.329925163,Total.coh
4500,0.865,A,0.32653607,Total.coh
4500,0.865,A,0.324416162,Total.coh
4500,0.865,A,0.324303925,Total.coh
4600,0.784,A,0.322576739,Total.coh
4600,0.784,A,0.316438181,Total.coh
4600,0.784,A,0.321451692,Total.coh
4600,0.784,A,0.325146157,Total.coh
4600,0.784,A,0.324920586,Total.coh
4600,0.784,A,0.32361262,Total.coh
4600,0.784,A,0.321874823,Total.coh
4600,0.784,A,0.327037651,Total.coh
4600,0.784,A,0.320016666,Total.coh
4600,0.784,A,0.319727213,Total.coh
4600,0.784,A,0.324047483,Total.coh
4600,0.784,A,0.323288403,Total.coh
4600,0.784,A,0.318776593,Total.coh
4600,0.784,A,0.322556989,Total.coh
4800,0.586,B,0.319309185,Total.coh
4800,0.586,B,0.332500764,Total.coh
4800,0.586,B,0.325931315,Total.coh
4800,0.586,B,0.321214451,Total.coh
4800,0.586,B,0.325920136,Total.coh
4800,0.586,B,0.328009134,Total.coh
4800,0.586,B,0.322376357,Total.coh
4800,0.586,B,0.32263628,Total.coh
4800,0.586,B,0.319314226,Total.coh
4800,0.586,B,0.32696427,Total.coh
4800,0.586,B,0.326144477,Total.coh
4800,0.586,B,0.331177081,Total.coh
4900,0.452,B,0.324674182,Total.coh
4900,0.452,B,0.331737096,Total.coh
4900,0.452,B,0.327474723,Total.coh
4900,0.452,B,0.320657958,Total.coh
4900,0.452,B,0.317634309,Total.coh
4900,0.452,B,0.338688404,Total.coh
4900,0.452,B,0.332377789,Total.coh
4900,0.452,B,0.324361924,Total.coh
4900,0.452,B,0.321488314,Total.coh
4900,0.452,B,0.311303375,Total.coh
4900,0.452,B,0.328634794,Total.coh
4900,0.452,B,0.330489377,Total.coh
5000,0.308,B,0.336435806,Total.coh
5000,0.308,B,0.327558148,Total.coh
5000,0.308,B,0.352565151,Total.coh
5000,0.308,B,0.354317819,Total.coh
5000,0.308,B,0.350552134,Total.coh
5000,0.308,B,0.348377262,Total.coh
5000,0.308,B,0.353795476,Total.coh
5000,0.308,B,0.35161294,Total.coh
5000,0.308,B,0.345093435,Total.coh
5000,0.308,B,0.346240302,Total.coh
5000,0.308,B,0.324311509,Total.coh
5000,0.308,B,0.332524455,Total.coh
4300,0.982,C,0.142779777,Neg.coh
4300,0.982,C,0.154854743,Neg.coh
4300,0.982,C,0.151268073,Neg.coh
4300,0.982,C,0.148012183,Neg.coh
4300,0.982,C,0.152526128,Neg.coh
4300,0.982,C,0.146223568,Neg.coh
4300,0.982,C,0.157223368,Neg.coh
4300,0.982,C,0.156640222,Neg.coh
4300,0.982,C,0.155470763,Neg.coh
4300,0.982,C,0.134567384,Neg.coh
4300,0.982,C,0.157810978,Neg.coh
4300,0.982,C,0.153380431,Neg.coh
4300,0.982,C,0.15061636,Neg.coh
4300,0.982,C,0.152915097,Neg.coh
4300,0.982,C,0.145152841,Neg.coh
4400,0.936,C,0.149339141,Neg.coh
4400,0.936,C,0.146470291,Neg.coh
4400,0.936,C,0.152685225,Neg.coh
4400,0.936,C,0.153701201,Neg.coh
4400,0.936,C,0.153562906,Neg.coh
4400,0.936,C,0.1523651,Neg.coh
4400,0.936,C,0.153684062,Neg.coh
4400,0.936,C,0.154899306,Neg.coh
4400,0.936,C,0.155485735,Neg.coh
4400,0.936,C,0.155380007,Neg.coh
4400,0.936,C,0.15715876,Neg.coh
4400,0.936,C,0.15394231,Neg.coh
4400,0.936,C,0.151122582,Neg.coh
4400,0.936,C,0.151684714,Neg.coh
4400,0.936,C,0.147137292,Neg.coh
4500,0.865,C,0.151733229,Neg.coh
4500,0.865,C,0.153872977,Neg.coh
4500,0.865,C,0.147330132,Neg.coh
4500,0.865,C,0.145135568,Neg.coh
4500,0.865,C,0.148902036,Neg.coh
4500,0.865,C,0.148116144,Neg.coh
4500,0.865,C,0.152179136,Neg.coh
4500,0.865,C,0.147968931,Neg.coh
4500,0.865,C,0.149188926,Neg.coh
4500,0.865,C,0.145337428,Neg.coh
4500,0.865,C,0.149090702,Neg.coh
4500,0.865,C,0.145688604,Neg.coh
4500,0.865,C,0.143082691,Neg.coh
4500,0.865,C,0.154808701,Neg.coh
4500,0.865,C,0.148597323,Neg.coh
4600,0.784,C,0.158074861,Neg.coh
4600,0.784,C,0.154179968,Neg.coh
4600,0.784,C,0.148592926,Neg.coh
4600,0.784,C,0.148311362,Neg.coh
4600,0.784,C,0.150218233,Neg.coh
4600,0.784,C,0.14563561,Neg.coh
4600,0.784,C,0.149184622,Neg.coh
4600,0.784,C,0.151197539,Neg.coh
4600,0.784,C,0.150172397,Neg.coh
4600,0.784,C,0.141879919,Neg.coh
4600,0.784,C,0.140544975,Neg.coh
4600,0.784,C,0.149876391,Neg.coh
4600,0.784,C,0.145579317,Neg.coh
4600,0.784,C,0.154598839,Neg.coh
4600,0.784,C,0.142194623,Neg.coh
4700,0.694,D,0.146456634,Neg.coh
4700,0.694,D,0.146797407,Neg.coh
4700,0.694,D,0.152679303,Neg.coh
4700,0.694,D,0.1525427,Neg.coh
4700,0.694,D,0.145807887,Neg.coh
4700,0.694,D,0.145966787,Neg.coh
4700,0.694,D,0.145263733,Neg.coh
4700,0.694,D,0.14466737,Neg.coh
4700,0.694,D,0.151738076,Neg.coh
4700,0.694,D,0.144812163,Neg.coh
4700,0.694,D,0.149493836,Neg.coh
4700,0.694,D,0.148046654,Neg.coh
4700,0.694,D,0.145907262,Neg.coh
4700,0.694,D,0.154766453,Neg.coh
4700,0.694,D,0.14910596,Neg.coh
4800,0.586,D,0.150139791,Neg.coh
4800,0.586,D,0.149259274,Neg.coh
4800,0.586,D,0.147723509,Neg.coh
4800,0.586,D,0.152353177,Neg.coh
4800,0.586,D,0.145431543,Neg.coh
4800,0.586,D,0.142431018,Neg.coh
4800,0.586,D,0.146815805,Neg.coh
4800,0.586,D,0.151296886,Neg.coh
4800,0.586,D,0.144795088,Neg.coh
4800,0.586,D,0.150016812,Neg.coh
4800,0.586,D,0.149250635,Neg.coh
4800,0.586,D,0.148574706,Neg.coh
4800,0.586,D,0.150649087,Neg.coh
4800,0.586,D,0.148925651,Neg.coh
4800,0.586,D,0.152288445,Neg.coh
4900,0.452,D,0.1469894,Neg.coh
4900,0.452,D,0.148111854,Neg.coh
4900,0.452,D,0.149521452,Neg.coh
4900,0.452,D,0.146851147,Neg.coh
4900,0.452,D,0.149391698,Neg.coh
4900,0.452,D,0.156126412,Neg.coh
4900,0.452,D,0.15098914,Neg.coh
4900,0.452,D,0.148723635,Neg.coh
4900,0.452,D,0.145888904,Neg.coh
4900,0.452,D,0.146142305,Neg.coh
4900,0.452,D,0.15314158,Neg.coh
4900,0.452,D,0.148357757,Neg.coh
4900,0.452,D,0.151846988,Neg.coh
4900,0.452,D,0.144211748,Neg.coh
4900,0.452,D,0.145602221,Neg.coh
5000,0.308,D,0.14517459,Neg.coh
5000,0.308,D,0.154793819,Neg.coh
5000,0.308,D,0.154005172,Neg.coh
5000,0.308,D,0.154410568,Neg.coh
5000,0.308,D,0.155465908,Neg.coh
5000,0.308,D,0.151736136,Neg.coh
5000,0.308,D,0.146640559,Neg.coh
5000,0.308,D,0.145632439,Neg.coh
5000,0.308,D,0.1500896,Neg.coh
5000,0.308,D,0.152474512,Neg.coh
5000,0.308,D,0.147411184,Neg.coh
5000,0.308,D,0.15096119,Neg.coh
5000,0.308,D,0.15499639,Neg.coh
5000,0.308,D,0.148831071,Neg.coh
5100,0.159,D,0.147566864,Neg.coh
5100,0.159,D,0.148200355,Neg.coh
5100,0.159,D,0.146647801,Neg.coh
5100,0.159,D,0.150271498,Neg.coh
5100,0.159,D,0.149362379,Neg.coh
5100,0.159,D,0.14616754,Neg.coh
5100,0.159,D,0.150080523,Neg.coh
5100,0.159,D,0.152665042,Neg.coh
5100,0.159,D,0.152380493,Neg.coh
5100,0.159,D,0.149798022,Neg.coh
5100,0.159,D,0.150206716,Neg.coh
5100,0.159,D,0.145913854,Neg.coh
5100,0.159,D,0.146500369,Neg.coh
5200,0.012,D,0.152478251,Neg.coh
5200,0.012,D,0.146476325,Neg.coh
5200,0.012,D,0.152002739,Neg.coh
5200,0.012,D,0.15077968,Neg.coh
5200,0.012,D,0.152574475,Neg.coh
5200,0.012,D,0.156043621,Neg.coh
5200,0.012,D,0.147673728,Neg.coh
5200,0.012,D,0.150491863,Neg.coh
5200,0.012,D,0.150550949,Neg.coh
5200,0.012,D,0.148401397,Neg.coh
5200,0.012,D,0.146959547,Neg.coh
5200,0.012,D,0.150257839,Neg.coh
5200,0.012,D,0.149837675,Neg.coh
4400,0.936,C,0.147941655,Neg.coh
4400,0.936,C,0.149427441,Neg.coh
4400,0.936,C,0.146601493,Neg.coh
4400,0.936,C,0.14997449,Neg.coh
4400,0.936,C,0.146578894,Neg.coh
4400,0.936,C,0.135704607,Neg.coh
4400,0.936,C,0.153227388,Neg.coh
4400,0.936,C,0.153959648,Neg.coh
4400,0.936,C,0.153478024,Neg.coh
4400,0.936,C,0.140243566,Neg.coh
4400,0.936,C,0.151444107,Neg.coh
4400,0.936,C,0.146814299,Neg.coh
4400,0.936,C,0.151238356,Neg.coh
4400,0.936,C,0.151294328,Neg.coh
4500,0.865,C,0.146243486,Neg.coh
4500,0.865,C,0.14137004,Neg.coh
4500,0.865,C,0.147715444,Neg.coh
4500,0.865,C,0.148144344,Neg.coh
4500,0.865,C,0.148490904,Neg.coh
4500,0.865,C,0.145626135,Neg.coh
4500,0.865,C,0.149904061,Neg.coh
4500,0.865,C,0.146764491,Neg.coh
4500,0.865,C,0.151209323,Neg.coh
4500,0.865,C,0.147887422,Neg.coh
4500,0.865,C,0.150938762,Neg.coh
4500,0.865,C,0.151343266,Neg.coh
4500,0.865,C,0.150249383,Neg.coh
4500,0.865,C,0.150020332,Neg.coh
4600,0.784,C,0.14927468,Neg.coh
4600,0.784,C,0.147856358,Neg.coh
4600,0.784,C,0.14890985,Neg.coh
4600,0.784,C,0.149385558,Neg.coh
4600,0.784,C,0.14999472,Neg.coh
4600,0.784,C,0.147535438,Neg.coh
4600,0.784,C,0.148507943,Neg.coh
4600,0.784,C,0.14595735,Neg.coh
4600,0.784,C,0.146953398,Neg.coh
4600,0.784,C,0.144523439,Neg.coh
4600,0.784,C,0.14959225,Neg.coh
4600,0.784,C,0.147790161,Neg.coh
4600,0.784,C,0.141026092,Neg.coh
4600,0.784,C,0.14827481,Neg.coh
4800,0.586,D,0.152187912,Neg.coh
4800,0.586,D,0.151733094,Neg.coh
4800,0.586,D,0.144972589,Neg.coh
4800,0.586,D,0.147961329,Neg.coh
4800,0.586,D,0.147994616,Neg.coh
4800,0.586,D,0.148933534,Neg.coh
4800,0.586,D,0.139566395,Neg.coh
4800,0.586,D,0.145345764,Neg.coh
4800,0.586,D,0.145818,Neg.coh
4800,0.586,D,0.146698251,Neg.coh
4800,0.586,D,0.147091355,Neg.coh
4800,0.586,D,0.147545019,Neg.coh
4900,0.452,D,0.147384924,Neg.coh
4900,0.452,D,0.149026562,Neg.coh
4900,0.452,D,0.147260366,Neg.coh
4900,0.452,D,0.142671221,Neg.coh
4900,0.452,D,0.141968317,Neg.coh
4900,0.452,D,0.148953385,Neg.coh
4900,0.452,D,0.151061808,Neg.coh
4900,0.452,D,0.14701892,Neg.coh
4900,0.452,D,0.145077983,Neg.coh
4900,0.452,D,0.140604083,Neg.coh
4900,0.452,D,0.148648767,Neg.coh
4900,0.452,D,0.147934495,Neg.coh
5000,0.308,D,0.148749066,Neg.coh
5000,0.308,D,0.149058318,Neg.coh
5000,0.308,D,0.153010654,Neg.coh
5000,0.308,D,0.153000484,Neg.coh
5000,0.308,D,0.152756594,Neg.coh
5000,0.308,D,0.148829711,Neg.coh
5000,0.308,D,0.1537717,Neg.coh
5000,0.308,D,0.155044555,Neg.coh
5000,0.308,D,0.150377044,Neg.coh
5000,0.308,D,0.151059125,Neg.coh
5000,0.308,D,0.143528071,Neg.coh
5000,0.308,D,0.147063903,Neg.coh
4300,0.982,E,0.184285184,Pos.coh
4300,0.982,E,0.192044047,Pos.coh
4300,0.982,E,0.187580781,Pos.coh
4300,0.982,E,0.233044773,Pos.coh
4300,0.982,E,0.206244242,Pos.coh
4300,0.982,E,0.224391289,Pos.coh
4300,0.982,E,0.214324777,Pos.coh
4300,0.982,E,0.224388422,Pos.coh
4300,0.982,E,0.205879114,Pos.coh
4300,0.982,E,0.199847236,Pos.coh
4300,0.982,E,0.218933304,Pos.coh
4300,0.982,E,0.243372446,Pos.coh
4300,0.982,E,0.235463873,Pos.coh
4300,0.982,E,0.189435677,Pos.coh
4300,0.982,E,0.170111782,Pos.coh
4400,0.936,E,0.18055941,Pos.coh
4400,0.936,E,0.177531951,Pos.coh
4400,0.936,E,0.18791618,Pos.coh
4400,0.936,E,0.181966167,Pos.coh
4400,0.936,E,0.18717526,Pos.coh
4400,0.936,E,0.187190609,Pos.coh
4400,0.936,E,0.18992657,Pos.coh
4400,0.936,E,0.197152028,Pos.coh
4400,0.936,E,0.185424967,Pos.coh
4400,0.936,E,0.19317105,Pos.coh
4400,0.936,E,0.192791611,Pos.coh
4400,0.936,E,0.190297864,Pos.coh
4400,0.936,E,0.187720458,Pos.coh
4400,0.936,E,0.179352317,Pos.coh
4400,0.936,E,0.1730019,Pos.coh
4500,0.865,E,0.197730338,Pos.coh
4500,0.865,E,0.183727265,Pos.coh
4500,0.865,E,0.179503739,Pos.coh
4500,0.865,E,0.171566493,Pos.coh
4500,0.865,E,0.177703458,Pos.coh
4500,0.865,E,0.176174715,Pos.coh
4500,0.865,E,0.17342127,Pos.coh
4500,0.865,E,0.174721638,Pos.coh
4500,0.865,E,0.17936822,Pos.coh
4500,0.865,E,0.176627639,Pos.coh
4500,0.865,E,0.175960328,Pos.coh
4500,0.865,E,0.18204895,Pos.coh
4500,0.865,E,0.172186446,Pos.coh
4500,0.865,E,0.214974258,Pos.coh
4500,0.865,E,0.173509684,Pos.coh
4600,0.784,E,0.217196418,Pos.coh
4600,0.784,E,0.173448818,Pos.coh
4600,0.784,E,0.177290588,Pos.coh
4600,0.784,E,0.176448158,Pos.coh
4600,0.784,E,0.182266457,Pos.coh
4600,0.784,E,0.178157905,Pos.coh
4600,0.784,E,0.179817074,Pos.coh
4600,0.784,E,0.181527509,Pos.coh
4600,0.784,E,0.185273558,Pos.coh
4600,0.784,E,0.173177872,Pos.coh
4600,0.784,E,0.187234772,Pos.coh
4600,0.784,E,0.175747921,Pos.coh
4600,0.784,E,0.176334948,Pos.coh
4600,0.784,E,0.181312374,Pos.coh
4600,0.784,E,0.174796139,Pos.coh
4700,0.694,F,0.184991315,Pos.coh
4700,0.694,F,0.172526521,Pos.coh
4700,0.694,F,0.178005889,Pos.coh
4700,0.694,F,0.174472661,Pos.coh
4700,0.694,F,0.169877468,Pos.coh
4700,0.694,F,0.170081264,Pos.coh
4700,0.694,F,0.178084786,Pos.coh
4700,0.694,F,0.176368719,Pos.coh
4700,0.694,F,0.175772368,Pos.coh
4700,0.694,F,0.173524619,Pos.coh
4700,0.694,F,0.171442826,Pos.coh
4700,0.694,F,0.174506409,Pos.coh
4700,0.694,F,0.179403154,Pos.coh
4700,0.694,F,0.179036789,Pos.coh
4700,0.694,F,0.176655826,Pos.coh
4800,0.586,F,0.168543651,Pos.coh
4800,0.586,F,0.169056714,Pos.coh
4800,0.586,F,0.172686956,Pos.coh
4800,0.586,F,0.179948586,Pos.coh
4800,0.586,F,0.171514993,Pos.coh
4800,0.586,F,0.167858316,Pos.coh
4800,0.586,F,0.170111643,Pos.coh
4800,0.586,F,0.174449422,Pos.coh
4800,0.586,F,0.169694156,Pos.coh
4800,0.586,F,0.173630642,Pos.coh
4800,0.586,F,0.169371842,Pos.coh
4800,0.586,F,0.172004095,Pos.coh
4800,0.586,F,0.196543564,Pos.coh
4800,0.586,F,0.178871909,Pos.coh
4800,0.586,F,0.174181222,Pos.coh
4900,0.452,F,0.176240528,Pos.coh
4900,0.452,F,0.178750515,Pos.coh
4900,0.452,F,0.179127676,Pos.coh
4900,0.452,F,0.195296461,Pos.coh
4900,0.452,F,0.209631488,Pos.coh
4900,0.452,F,0.212702977,Pos.coh
4900,0.452,F,0.181344494,Pos.coh
4900,0.452,F,0.183647712,Pos.coh
4900,0.452,F,0.175172531,Pos.coh
4900,0.452,F,0.174777923,Pos.coh
4900,0.452,F,0.176678264,Pos.coh
4900,0.452,F,0.175471528,Pos.coh
4900,0.452,F,0.175360369,Pos.coh
4900,0.452,F,0.170245906,Pos.coh
4900,0.452,F,0.186415498,Pos.coh
5000,0.308,F,0.196878139,Pos.coh
5000,0.308,F,0.176400443,Pos.coh
5000,0.308,F,0.191191033,Pos.coh
5000,0.308,F,0.18970232,Pos.coh
5000,0.308,F,0.191210436,Pos.coh
5000,0.308,F,0.197799787,Pos.coh
5000,0.308,F,0.169018245,Pos.coh
5000,0.308,F,0.189045687,Pos.coh
5000,0.308,F,0.196143696,Pos.coh
5000,0.308,F,0.19394349,Pos.coh
5000,0.308,F,0.195843839,Pos.coh
5000,0.308,F,0.192699705,Pos.coh
5000,0.308,F,0.17654029,Pos.coh
5000,0.308,F,0.21944987,Pos.coh
5100,0.159,F,0.181790334,Pos.coh
5100,0.159,F,0.173153091,Pos.coh
5100,0.159,F,0.179778685,Pos.coh
5100,0.159,F,0.177245197,Pos.coh
5100,0.159,F,0.191442272,Pos.coh
5100,0.159,F,0.180439824,Pos.coh
5100,0.159,F,0.192296695,Pos.coh
5100,0.159,F,0.188841773,Pos.coh
5100,0.159,F,0.187918402,Pos.coh
5100,0.159,F,0.188067953,Pos.coh
5100,0.159,F,0.185851887,Pos.coh
5100,0.159,F,0.186833366,Pos.coh
5100,0.159,F,0.185282407,Pos.coh
5200,0.012,F,0.180867355,Pos.coh
5200,0.012,F,0.195601635,Pos.coh
5200,0.012,F,0.192535034,Pos.coh
5200,0.012,F,0.18782666,Pos.coh
5200,0.012,F,0.192042669,Pos.coh
5200,0.012,F,0.197365346,Pos.coh
5200,0.012,F,0.187130401,Pos.coh
5200,0.012,F,0.188256016,Pos.coh
5200,0.012,F,0.18211957,Pos.coh
5200,0.012,F,0.184360595,Pos.coh
5200,0.012,F,0.190954639,Pos.coh
5200,0.012,F,0.185993415,Pos.coh
5200,0.012,F,0.177161283,Pos.coh
4400,0.936,E,0.17687266,Pos.coh
4400,0.936,E,0.177527066,Pos.coh
4400,0.936,E,0.178539261,Pos.coh
4400,0.936,E,0.175478756,Pos.coh
4400,0.936,E,0.17277687,Pos.coh
4400,0.936,E,0.163150327,Pos.coh
4400,0.936,E,0.177790102,Pos.coh
4400,0.936,E,0.177746553,Pos.coh
4400,0.936,E,0.183383408,Pos.coh
4400,0.936,E,0.177313732,Pos.coh
4400,0.936,E,0.190634474,Pos.coh
4400,0.936,E,0.175539488,Pos.coh
4400,0.936,E,0.191521971,Pos.coh
4400,0.936,E,0.187142744,Pos.coh
4500,0.865,E,0.169270366,Pos.coh
4500,0.865,E,0.167449216,Pos.coh
4500,0.865,E,0.170646934,Pos.coh
4500,0.865,E,0.174858615,Pos.coh
4500,0.865,E,0.17448504,Pos.coh
4500,0.865,E,0.173151557,Pos.coh
4500,0.865,E,0.180158996,Pos.coh
4500,0.865,E,0.183658165,Pos.coh
4500,0.865,E,0.178368969,Pos.coh
4500,0.865,E,0.183583631,Pos.coh
4500,0.865,E,0.178986401,Pos.coh
4500,0.865,E,0.175192803,Pos.coh
4500,0.865,E,0.174166779,Pos.coh
4500,0.865,E,0.174283593,Pos.coh
4600,0.784,E,0.173302059,Pos.coh
4600,0.784,E,0.168581823,Pos.coh
4600,0.784,E,0.172541842,Pos.coh
4600,0.784,E,0.175760599,Pos.coh
4600,0.784,E,0.174925867,Pos.coh
4600,0.784,E,0.176077182,Pos.coh
4600,0.784,E,0.173366881,Pos.coh
4600,0.784,E,0.181080301,Pos.coh
4600,0.784,E,0.173063267,Pos.coh
4600,0.784,E,0.175203775,Pos.coh
4600,0.784,E,0.174455233,Pos.coh
4600,0.784,E,0.175498242,Pos.coh
4600,0.784,E,0.177750501,Pos.coh
4600,0.784,E,0.174282179,Pos.coh
4800,0.586,F,0.167121273,Pos.coh
4800,0.586,F,0.18076767,Pos.coh
4800,0.586,F,0.180958726,Pos.coh
4800,0.586,F,0.173253122,Pos.coh
4800,0.586,F,0.17792552,Pos.coh
4800,0.586,F,0.1790756,Pos.coh
4800,0.586,F,0.182809962,Pos.coh
4800,0.586,F,0.177290515,Pos.coh
4800,0.586,F,0.173496226,Pos.coh
4800,0.586,F,0.18026602,Pos.coh
4800,0.586,F,0.179053122,Pos.coh
